WLASL Glosses Ranked by Video Count
Total glosses: 2000
Total videos: 21083

Rank     Gloss                                    Videos       Percentage     
---------------------------------------------------------------------------
1        book                                     40             0.19%
2        drink                                    35             0.17%
3        computer                                 30             0.14%
4        before                                   26             0.12%
5        chair                                    26             0.12%
6        go                                       26             0.12%
7        clothes                                  25             0.12%
8        who                                      25             0.12%
9        candy                                    24             0.11%
10       cousin                                   23             0.11%
11       deaf                                     23             0.11%
12       fine                                     22             0.10%
13       help                                     22             0.10%
14       no                                       22             0.10%
15       thin                                     22             0.10%
16       walk                                     22             0.10%
17       year                                     22             0.10%
18       yes                                      22             0.10%
19       all                                      21             0.10%
20       black                                    21             0.10%
21       cool                                     21             0.10%
22       finish                                   21             0.10%
23       hot                                      21             0.10%
24       like                                     21             0.10%
25       many                                     21             0.10%
26       mother                                   21             0.10%
27       now                                      21             0.10%
28       orange                                   21             0.10%
29       table                                    21             0.10%
30       thanksgiving                             21             0.10%
31       what                                     21             0.10%
32       woman                                    21             0.10%
33       bed                                      20             0.09%
34       blue                                     20             0.09%
35       bowling                                  20             0.09%
36       can                                      20             0.09%
37       dog                                      20             0.09%
38       family                                   20             0.09%
39       fish                                     20             0.09%
40       graduate                                 20             0.09%
41       hat                                      20             0.09%
42       hearing                                  20             0.09%
43       kiss                                     20             0.09%
44       language                                 20             0.09%
45       later                                    20             0.09%
46       man                                      20             0.09%
47       shirt                                    20             0.09%
48       study                                    20             0.09%
49       tall                                     20             0.09%
50       white                                    20             0.09%
51       wrong                                    20             0.09%
52       accident                                 19             0.09%
53       apple                                    19             0.09%
54       bird                                     19             0.09%
55       change                                   19             0.09%
56       color                                    19             0.09%
57       corn                                     19             0.09%
58       cow                                      19             0.09%
59       dance                                    19             0.09%
60       dark                                     19             0.09%
61       doctor                                   19             0.09%
62       eat                                      19             0.09%
63       enjoy                                    19             0.09%
64       forget                                   19             0.09%
65       give                                     19             0.09%
66       last                                     19             0.09%
67       meet                                     19             0.09%
68       pink                                     19             0.09%
69       pizza                                    19             0.09%
70       play                                     19             0.09%
71       school                                   19             0.09%
72       secretary                                19             0.09%
73       short                                    19             0.09%
74       time                                     19             0.09%
75       want                                     19             0.09%
76       work                                     19             0.09%
77       africa                                   18             0.09%
78       basketball                               18             0.09%
79       birthday                                 18             0.09%
80       brown                                    18             0.09%
81       but                                      18             0.09%
82       cheat                                    18             0.09%
83       city                                     18             0.09%
84       cook                                     18             0.09%
85       decide                                   18             0.09%
86       full                                     18             0.09%
87       how                                      18             0.09%
88       jacket                                   18             0.09%
89       letter                                   18             0.09%
90       medicine                                 18             0.09%
91       need                                     18             0.09%
92       paint                                    18             0.09%
93       paper                                    18             0.09%
94       pull                                     18             0.09%
95       purple                                   18             0.09%
96       right                                    18             0.09%
97       same                                     18             0.09%
98       son                                      18             0.09%
99       tell                                     18             0.09%
100      thursday                                 18             0.09%
101      visit                                    18             0.09%
102      wait                                     18             0.09%
103      water                                    18             0.09%
104      wife                                     18             0.09%
105      yellow                                   18             0.09%
106      backpack                                 17             0.08%
107      bar                                      17             0.08%
108      brother                                  17             0.08%
109      cat                                      17             0.08%
110      check                                    17             0.08%
111      class                                    17             0.08%
112      cry                                      17             0.08%
113      different                                17             0.08%
114      door                                     17             0.08%
115      green                                    17             0.08%
116      hair                                     17             0.08%
117      have                                     17             0.08%
118      headache                                 17             0.08%
119      inform                                   17             0.08%
120      knife                                    17             0.08%
121      laugh                                    17             0.08%
122      learn                                    17             0.08%
123      movie                                    17             0.08%
124      rabbit                                   17             0.08%
125      read                                     17             0.08%
126      red                                      17             0.08%
127      room                                     17             0.08%
128      run                                      17             0.08%
129      show                                     17             0.08%
130      sick                                     17             0.08%
131      snow                                     17             0.08%
132      take                                     17             0.08%
133      tea                                      17             0.08%
134      teacher                                  17             0.08%
135      week                                     17             0.08%
136      why                                      17             0.08%
