WLASL Split-Gloss Summary


============================================================
TEST
============================================================
Total videos: 2878
Unique glosses: 1999

Gloss                                    Videos      
----------------------------------------------------
computer                                 5           
book                                     4           
drink                                    4           
before                                   4           
chair                                    3           
go                                       3           
clothes                                  3           
who                                      3           
candy                                    3           
cousin                                   3           
deaf                                     3           
fine                                     3           
help                                     3           
no                                       3           
thin                                     3           
walk                                     3           
year                                     3           
yes                                      3           
all                                      3           
black                                    3           
cool                                     3           
finish                                   3           
hot                                      3           
like                                     3           
many                                     3           
mother                                   3           
now                                      3           
orange                                   3           
table                                    3           
thanksgiving                             3           
what                                     3           
woman                                    3           
dog                                      3           
fish                                     3           
kiss                                     3           
language                                 3           
shirt                                    3           
tall                                     3           
accident                                 3           
corn                                     3           
cow                                      3           
dark                                     3           
doctor                                   3           
last                                     3           
pink                                     3           
pizza                                    3           
secretary                                3           
africa                                   3           
birthday                                 3           
but                                      3           
how                                      3           
letter                                   3           
same                                     3           
backpack                                 3           
bar                                      3           
check                                    3           
inform                                   3           
laugh                                    3           
rabbit                                   3           
room                                     3           
take                                     3           
far                                      3           
soon                                     3           
bed                                      2           
blue                                     2           
bowling                                  2           
can                                      2           
family                                   2           
graduate                                 2           
hat                                      2           
hearing                                  2           
later                                    2           
man                                      2           
study                                    2           
white                                    2           
wrong                                    2           
apple                                    2           
bird                                     2           
change                                   2           
color                                    2           
dance                                    2           
eat                                      2           
enjoy                                    2           
forget                                   2           
give                                     2           
meet                                     2           
play                                     2           
school                                   2           
short                                    2           
time                                     2           
want                                     2           
work                                     2           
basketball                               2           
brown                                    2           
cheat                                    2           
city                                     2           
cook                                     2           
decide                                   2           
full                                     2           
jacket                                   2           
medicine                                 2           
need                                     2           
paint                                    2           
paper                                    2           
pull                                     2           
purple                                   2           
right                                    2           
son                                      2           
tell                                     2           
thursday                                 2           
visit                                    2           
wait                                     2           
water                                    2           
wife                                     2           
yellow                                   2           
brother                                  2           
cat                                      2           
class                                    2           
cry                                      2           
different                                2           
door                                     2           
green                                    2           
hair                                     2           
have                                     2           
headache                                 2           
knife                                    2           
learn                                    2           
movie                                    2           
read                                     2           
red                                      2           
run                                      2           
show                                     2           
sick                                     2           
snow                                     2           
tea                                      2           
teacher                                  2           
week                                     2           
why                                      2           
with                                     2           
write                                    2           
yesterday                                2           
again                                    2           
bad                                      2           
ball                                     2           
bathroom                                 2           
blanket                                  2           
buy                                      2           
call                                     2           
coffee                                   2           
cold                                     2           
college                                  2           
copy                                     2           
cute                                     2           
daughter                                 2           
example                                  2           
first                                    2           
friend                                   2           
good                                     2           
happy                                    2           
home                                     2           
know                                     2           
late                                     2           
leave                                    2           
list                                     2           
lose                                     2           
name                                     2           
old                                      2           
person                                   2           
police                                   2           
problem                                  2           
remember                                 2           
share                                    2           
stay                                     2           
sunday                                   2           
test                                     2           
tired                                    2           
trade                                    2           
travel                                   2           
window                                   2           
you                                      2           
about                                    2           
approve                                  2           
arrive                                   2           
balance                                  2           
banana                                   2           
beard                                    2           
because                                  2           
boy                                      2           
business                                 2           
careful                                  2           
center                                   2           
chat                                     2           
children                                 2           
christmas                                2           
clock                                    2           
close                                    2           
convince                                 2           
country                                  2           
crash                                    2           
day                                      2           
discuss                                  2           
dress                                    2           
drive                                    2           
drop                                     2           
fat                                      2           
feel                                     2           
football                                 2           
future                                   2           
game                                     2           
girl                                     2           
government                               2           
hear                                     2           
here                                     2           
hope                                     2           
house                                    2           
husband                                  2           
interest                                 2           
join                                     2           
light                                    2           
live                                     2           
make                                     2           
mean                                     2           
more                                     2           
most                                     2           
music                                    2           
new                                      2           
none                                     2           
office                                   2           
order                                    2           
pants                                    2           
party                                    2           
past                                     2           
pencil                                   2           
plan                                     2           
please                                   2           
practice                                 2           
president                                2           
restaurant                               2           
ride                                     2           
russia                                   2           
salt                                     2           
sandwich                                 2           
sign                                     2           
since                                    2           
small                                    2           
some                                     2           
south                                    2           
student                                  2           
teach                                    2           
theory                                   2           
tomato                                   2           
train                                    2           
ugly                                     2           
war                                      2           
where                                    2           
your                                     2           
always                                   2           
animal                                   2           
argue                                    2           
baby                                     2           
back                                     2           
bake                                     2           
bath                                     2           
behind                                   2           
bring                                    2           
catch                                    2           
cereal                                   2           
champion                                 2           
cheese                                   2           
cough                                    2           
crazy                                    2           
delay                                    2           
delicious                                2           
disappear                                2           
divorce                                  2           
draw                                     2           
east                                     2           
easy                                     2           
egg                                      2           
environment                              2           
father                                   2           
fault                                    2           
flower                                   2           
friendly                                 2           
glasses                                  2           
halloween                                2           
hard                                     2           
heart                                    2           
hour                                     2           
humble                                   2           
hurry                                    2           
improve                                  2           
internet                                 2           
jump                                     2           
kill                                     2           
law                                      2           
match                                    2           
meat                                     2           
milk                                     2           
money                                    2           
month                                    2           
moon                                     2           
move                                     2           
near                                     2           
nephew                                   2           
nice                                     2           
niece                                    2           
noon                                     2           
north                                    2           
not                                      2           
nurse                                    2           
off                                      2           
ok                                       2           
patient                                  2           
pay                                      2           
perspective                              2           
potato                                   2           
sad                                      2           
saturday                                 2           
save                                     2           
scissors                                 2           
secret                                   2           
shoes                                    2           
shop                                     2           
silly                                    2           
sister                                   2           
sleep                                    2           
sorry                                    2           
straight                                 2           
sweet                                    2           
talk                                     2           
temperature                              2           
tent                                     2           
thank you                                2           
think                                    2           
throw                                    2           
today                                    2           
traffic                                  2           
understand                               2           
use                                      2           
voice                                    2           
vomit                                    2           
vote                                     2           
wednesday                                2           
west                                     2           
wet                                      2           
when                                     2           
which                                    2           
win                                      2           
word                                     2           
afternoon                                2           
age                                      2           
alone                                    2           
appointment                              2           
australia                                2           
avoid                                    2           
balloon                                  2           
basement                                 2           
bear                                     2           
believe                                  2           
better                                   2           
blind                                    2           
bored                                    2           
bowl                                     2           
box                                      2           
bracelet                                 2           
bread                                    2           
cafeteria                                2           
car                                      2           
chicken                                  2           
child                                    2           
choose                                   2           
church                                   2           
cookie                                   2           
cup                                      2           
cut                                      2           
decorate                                 2           
deep                                     2           
deer                                     2           
dentist                                  2           
dirty                                    2           
dive                                     2           
down                                     2           
dry                                      2           
ear                                      2           
earn                                     2           
earring                                  2           
elephant                                 2           
english                                  2           
escape                                   2           
expensive                                2           
explain                                  2           
fast                                     2           
fight                                    2           
find                                     2           
fishing                                  2           
floor                                    2           
fly                                      2           
follow                                   2           
from                                     2           
get                                      2           
happen                                   2           
hello                                    2           
hit                                      2           
hospital                                 2           
idea                                     2           
important                                2           
investigate                              2           
japan                                    2           
jealous                                  2           
king                                     2           
kitchen                                  2           
large                                    2           
