gloss,count
REGEN,3619
__OFF__,3276
__ON__,3065
IX,1828
MORGEN,1572
WOLKE,1410
SONNE,1382
GRAD,1321
REGION,1309
WEHEN,1033
SCHNEE,1018
NACHT,994
__EMOTION__,944
KOMMEN,942
GEWITTER,930
KOENNEN,929
loc-REGION,909
MEHR,900
NORD,900
AUCH,874
__PU__,859
BISSCHEN,853
HEUTE,851
WETTER,816
SUED,813
SCHAUER,806
WIND,786
BIS,781
cl-KOMMEN,715
DANN,602
ZWANZIG,574
OST,549
NEBEL,525
MOEGLICH,509
ABEND,500
FREUNDLICH,496
JETZT,477
__LEFTHAND__,474
BERG,472
STURM,465
TEIL,445
WEST,441
ABER,439
TAG,426
WECHSELHAFT,420
MAESSIG,418
FLUSS,407
WIE-AUSSEHEN,402
TIEF,389
MINUS,373
SCHWACH,367
SONNTAG,354
MITTE,350
BLEIBEN,343
KUEHL,341
FREITAG,340
KLAR,336
VIEL,335
HOCH,334
TROCKEN,333
SAMSTAG,330
STARK,325
DONNERSTAG,307
SONST,307
BESONDERS,305
NORDRAUM,299
MEISTENS,290
TEMPERATUR,288
IN-KOMMEND,286
KALT,277
WARM,271
UND,271
MITTWOCH,270
MONTAG,265
loc-NORD,262
SCHNEIEN,260
FUENF,251
LAND,251
GUT,249
DEUTSCH,246
NUR,246
DIENSTAG,233
MITTAG,223
SCHOEN,220
REGEN-PLUSPLUS,211
FROST,211
MILD,210
ALPEN,207
KUESTE,201
IM-VERLAUF,199
DREI,198
NORDWESTRAUM,198
LUFT,195
VIER,193
HIMMEL,191
VERSCHWINDEN,188
loc-NORDWEST,188
SEHEN,183
SIEBEN,182
DABEI,181
HAUPTSAECHLICH,180
NOCH,178
SCHON,174
FRISCH,173
EINS,170
SECHS,168
ACHT,163
ZEHN,162
ZWISCHEN,161
loc-SUEDOST,157
MAXIMAL,155
NACH,155
MAL,155
ANFANG,149
ZWEI,149
SUEDOSTRAUM,145
NULL,142
GLATT,142
ENORM,141
loc-SUED,136
PLUS,135
UEBERWIEGEND,133
VIERZEHN,133
NEUN,129
FUENFZEHN,127
DRUCK,120
ZWOELF,120
DREIZEHN,119
LIEB,118
WENN,118
NORDOSTRAUM,116
SUEDWESTRAUM,116
ZUSCHAUER,115
DREISSIG,115
STERN,115
BAYERN,114
WAHRSCHEINLICH,114
WIEDER,113
LANG,113
MEER,112
TEILWEISE,112
BEWOELKT,112
WENIG,111
ELF,105
SIEBZEHN,105
ODER,104
SECHSZEHN,104
WEITER,97
ACHTZEHN,97
RUHIG,95
EUROPA,95
SUEDRAUM,94
WIE,93
HABEN,93
loc-WEST,90
WOCHENENDE,90
SPAETER,90
DAZU,89
loc-NORDOST,89
loc-SUEDWEST,87
SEE,86
NORDWEST,86
NAECHSTE,83
SO,82
ORKAN,82
AB,79
poss-EUCH,79
STEIGEN,79
SUEDOST,76
FRUEH,74
NICHT-HABEN,72
DURCHGEHEND,70
NEU,69
LEICHT,68
UNGEFAEHR,67
GLEICH,66
WALD,66
loc-OST,66
WARNUNG,65
AUFLOESEN,65
DEUTSCHLAND,65
SINKEN,65
UNWETTER,64
NEUNZEHN,64
BESSER,64
DESWEGEN,63
HIER,62
VORSICHT,62
MACHEN,62
HEISS,59
EIN,58
WOCHE,58
VOR,57
ZWEIZWANZIG,57
BODEN,57
GEFRIEREN,56
UEBER,55
MANCHMAL,55
MIT,55
SPEZIELL,54
NORDOST,54
OKTOBER,54
WIE-IMMER,53
DIENST,53
WUENSCHEN,52
SCHEINEN,52
WESTRAUM,51
ZEIGEN,51
NAEHE,50
NOVEMBER,49
SOMMER,48
TATSAECHLICH,48
DEZEMBER,47
JULI,47
JANUAR,47
SUEDWEST,47
LANGSAM,46
ORT-PLUSPLUS,45
FEBRUAR,45
DARUM,45
WEHEN-PLUSPLUS,45
VORAUS,45
TSCHUESS,44
FEUCHT,44
ORT,44
APRIL,43
ZEIGEN-BILDSCHIRM,43
DOCH,43
GEFAHR,43
poss-SEIN,43
SKANDINAVIEN,43
OFT,42
KAUM,42
HERBST,42
INFORMIEREN,42
METER,42
WINTER,41
REST,41
SEPTEMBER,41
SCHWER,41
UNTERSCHIED,41
BEGRUESSEN,41
VERAENDERN,40
MAI,40
UMWANDELN,39
ES-BEDEUTET,39
AUGUST,38
BEDEUTEN,35
VON,35
HABEN2,35
UEBERALL,34
GRUND,34
TAGSUEBER,34
ICH,33
ZUERST,33
WENIGER,33
ALLGAEU,32
E,32
TRUEB,32
EINFLUSS,32
GERADE,32
SACHSEN,32
loc-ZONE,32
FRANKREICH,31
NACHMITTAG,31
DESHALB,31
EIS,31
L,31
JUNI,30
MISCHUNG,30
BRAND,30
DIESE,30
KRAEFTIG,30
ZONE,30
DAS-IST-ES,29
SCHWARZ,29
BLITZ,29
VIELLEICHT,28
loc-ALPEN,28
NICHT,28
TROPFEN,28
IM-MOMENT,28
AUSSEHEN,26
MAERZ,26
NICHTALP-AUCH,26
STUNDE,25
UNTER,25
UNTEN,25
GRAUPEL,25
HEFTIG,25
SCHOTTLAND,24
DU,24
DURCH,24
ANGENEHM,23
ERSTE,23
SELTEN,23
SAUER,23
NASS,23
STROEMEN,23
HAGEL,23
AEHNLICH,22
ANDERE,22
SIEBTE,22
FAST,22
ZEIT,21
BEISPIEL,21
KURZ,21
TAL,21
THUERINGEN,21
ZWEITE,20
RUEGEN,20
LOCKER,20
WERT,20
OSTRAUM,20
HOEHE,20
BURG,20
DAZWISCHEN,20
VERSCHIEDEN,20
GRENZE,20
ENGLAND,20
EINIGE,20
HERZ,19
FRUEHLING,19
PASSEN,19
MITTEILEN,19
LOCH,19
NOCHEINMAL,19
EINIGERMASSEN,18
