gloss,count
REGEN,3619
__OFF__,3276
__ON__,3065
IX,1828
MORGEN,1572
WOLKE,1410
SONNE,1382
GRAD,1321
REGION,1309
WEHEN,1033
SCHNEE,1018
NACHT,994
__EMOTION__,944
KOMMEN,942
GEWITTER,930
KOENNEN,929
loc-REGION,909
MEHR,900
NORD,900
AUCH,874
__PU__,859
BISSCHEN,853
HEUTE,851
WETTER,816
SUED,813
SCHAUER,806
WIND,786
BIS,781
cl-KOMMEN,715
DANN,602
ZWANZIG,574
OST,549
NEBEL,525
MOEGLICH,509
ABEND,500
FREUNDLICH,496
JETZT,477
__LEFTHAND__,474
BERG,472
STURM,465
TEIL,445
WEST,441
ABER,439
TAG,426
WECHSELHAFT,420
MAESSIG,418
FLUSS,407
WIE-AUSSEHEN,402
TIEF,389
MINUS,373
SCHWACH,367
SONNTAG,354
MITTE,350
BLEIBEN,343
KUEHL,341
FREITAG,340
KLAR,336
VIEL,335
HOCH,334
TROCKEN,333
SAMSTAG,330
STARK,325
DONNERSTAG,307
SONST,307
BESONDERS,305
NORDRAUM,299
MEISTENS,290
TEMPERATUR,288
IN-KOMMEND,286
KALT,277
WARM,271
UND,271
MITTWOCH,270
MONTAG,265
loc-NORD,262
SCHNEIEN,260
FUENF,251
LAND,251
GUT,249
DEUTSCH,246
NUR,246
DIENSTAG,233
MITTAG,223
SCHOEN,220
REGEN-PLUSPLUS,211
FROST,211
MILD,210
ALPEN,207
KUESTE,201
IM-VERLAUF,199
DREI,198
NORDWESTRAUM,198
LUFT,195
VIER,193
HIMMEL,191
VERSCHWINDEN,188
loc-NORDWEST,188
SEHEN,183
SIEBEN,182
DABEI,181
HAUPTSAECHLICH,180
NOCH,178
SCHON,174
FRISCH,173
EINS,170
SECHS,168
ACHT,163
ZEHN,162
ZWISCHEN,161
loc-SUEDOST,157
MAXIMAL,155
NACH,155
MAL,155
ANFANG,149
ZWEI,149
SUEDOSTRAUM,145
NULL,142
GLATT,142
ENORM,141
loc-SUED,136
PLUS,135
UEBERWIEGEND,133
VIERZEHN,133
NEUN,129
FUENFZEHN,127
DRUCK,120
ZWOELF,120
DREIZEHN,119
LIEB,118
WENN,118
NORDOSTRAUM,116
SUEDWESTRAUM,116
ZUSCHAUER,115
DREISSIG,115
STERN,115
BAYERN,114
WAHRSCHEINLICH,114
WIEDER,113
LANG,113
MEER,112
TEILWEISE,112
BEWOELKT,112
WENIG,111
ELF,105
SIEBZEHN,105
ODER,104
SECHSZEHN,104
WEITER,97
ACHTZEHN,97
RUHIG,95
EUROPA,95
SUEDRAUM,94
WIE,93
HABEN,93
loc-WEST,90
WOCHENENDE,90
SPAETER,90
DAZU,89
loc-NORDOST,89
loc-SUEDWEST,87
SEE,86
NORDWEST,86
NAECHSTE,83
SO,82
ORKAN,82
AB,79
poss-EUCH,79
STEIGEN,79
SUEDOST,76
FRUEH,74
NICHT-HABEN,72
DURCHGEHEND,70
NEU,69
LEICHT,68
UNGEFAEHR,67
GLEICH,66
WALD,66
loc-OST,66
WARNUNG,65
AUFLOESEN,65
DEUTSCHLAND,65
SINKEN,65
UNWETTER,64
NEUNZEHN,64
BESSER,64
DESWEGEN,63
HIER,62
VORSICHT,62
MACHEN,62
HEISS,59
EIN,58
WOCHE,58
VOR,57
ZWEIZWANZIG,57
BODEN,57
GEFRIEREN,56
UEBER,55
MANCHMAL,55
MIT,55
SPEZIELL,54
