label,coordinate 0,coordinate 1,coordinate 2,coordinate 3,coordinate 4,coordinate 5,coordinate 6,coordinate 7,coordinate 8,coordinate 9,coordinate 10,coordinate 11,coordinate 12,coordinate 13,coordinate 14,coordinate 15,coordinate 16,coordinate 17,coordinate 18,coordinate 19,coordinate 20,coordinate 21,coordinate 22,coordinate 23,coordinate 24,coordinate 25,coordinate 26,coordinate 27,coordinate 28,coordinate 29,coordinate 30,coordinate 31,coordinate 32,coordinate 33,coordinate 34,coordinate 35,coordinate 36,coordinate 37,coordinate 38,coordinate 39,coordinate 40,coordinate 41,coordinate 42,coordinate 43,coordinate 44,coordinate 45,coordinate 46,coordinate 47,coordinate 48,coordinate 49,coordinate 50,coordinate 51,coordinate 52,coordinate 53,coordinate 54,coordinate 55,coordinate 56,coordinate 57,coordinate 58,coordinate 59,coordinate 60,coordinate 61,coordinate 62
a,0.698437511920929,0.4879629611968994,-5.065839445705933e-07,-0.051562488079071,-0.0416666567325592,-0.0134196076542139,-0.0885416865348815,-0.132407397031784,-0.0174998175352811,-0.1083333492279052,-0.2111110985279083,-0.0239797607064247,-0.125,-0.2768518328666687,-0.0266369376331567,-0.0677083730697631,-0.2175925970077514,0.0072869285941123,-0.0802083611488342,-0.2777777910232544,-0.017756812274456,-0.0687500238418579,-0.2009259164333343,-0.0299343690276145,-0.0572916865348815,-0.1601851880550384,-0.0336032025516033,-0.0333333611488342,-0.2277777791023254,0.0034317879471927,-0.0447916984558105,-0.2935185134410858,-0.0220481995493173,-0.0390625,-0.1962963044643402,-0.0258319862186908,-0.0302083492279052,-0.162037044763565,-0.0211361367255449,0.0036458373069763,-0.2259259223937988,-0.0055548762902617,-0.004687488079071,-0.2981481552124023,-0.0335281491279602,-0.0072916746139526,-0.2009259164333343,-0.0225464925169944,-0.0036458373069763,-0.1555555462837219,-0.0065067638643085,0.0416666269302368,-0.2148148119449615,-0.0157948937267065,0.0354166626930236,-0.2740740776062011,-0.0316853560507297,0.0239583253860473,-0.2092592716217041,-0.0209112390875816,0.0197916626930236,-0.1703703701496124,-0.0075955195352435
a,0.5760416388511658,0.4722222089767456,-4.749376500967628e-07,-0.051562488079071,-0.0111111104488372,-0.0154871623963117,-0.0927083194255828,-0.0842592418193817,-0.0195629280060529,-0.1114583015441894,-0.1583333313465118,-0.0242252349853515,-0.1203124821186065,-0.2166666388511657,-0.0243136417120695,-0.071874976158142,-0.1777777671813964,0.0021893249358981,-0.0890624821186065,-0.2194444239139557,-0.0203601811081171,-0.0739582777023315,-0.1472222208976745,-0.02939766459167,-0.0619791150093078,-0.125,-0.032007560133934,-0.040624976158142,-0.1879629492759704,0.0005086489254608,-0.0578124523162841,-0.2296296209096908,-0.022519139572978,-0.048437476158142,-0.1416666507720947,-0.0229122843593359,-0.0380207896232605,-0.1296296119689941,-0.016498515382409,-0.009374976158142,-0.1870370209217071,-0.0062826480716466,-0.024999976158142,-0.2324073910713195,-0.0316797420382499,-0.0213541388511657,-0.1416666507720947,-0.0188092533499002,-0.0119791626930236,-0.1231481432914733,-0.0026404378004372,0.0229166746139526,-0.1814814805984497,-0.0147005105391144,0.0088542103767395,-0.2120370268821716,-0.0285754073411226,0.0046875476837158,-0.1499999761581421,-0.0180205795913934,0.0098958611488342,-0.1314814686775207,-0.0056538698263466
a,0.5666666626930237,0.3796296417713165,-5.638702873511647e-07,-0.0588541626930236,0.0101851820945739,-0.0230153668671846,-0.1229166686534881,-0.0527777969837188,-0.029104683548212,-0.1588541567325592,-0.1342592686414718,-0.0342380218207836,-0.1796875,-0.1990740895271301,-0.0328025519847869,-0.1130208373069763,-0.1759259402751922,-0.0019981572404503,-0.1359374821186065,-0.2101851999759674,-0.0285305678844451,-0.1057291626930236,-0.1333333402872085,-0.037888765335083,-0.0921874940395355,-0.1240740716457367,-0.0413284674286842,-0.0765624940395355,-0.2046296447515487,-0.0016628846060484,-0.1010416746139526,-0.2407407462596893,-0.030326722189784,-0.0755208432674408,-0.1407407522201538,-0.0295421238988637,-0.0661458373069763,-0.1398148238658905,-0.021585177630186,-0.0395833253860473,-0.219444453716278,-0.0077736261300742,-0.0619791746139526,-0.2583333551883697,-0.0386677645146846,-0.043749988079071,-0.1564814895391464,-0.0220968071371316,-0.0338541865348815,-0.1472222357988357,-0.0027867585886269,-0.001562476158142,-0.2314814925193786,-0.0162705648690462,-0.0197916626930236,-0.2518518567085266,-0.0328099206089973,-0.0140625238418579,-0.1787037104368209,-0.0207589138299226,-0.0078125,-0.1675925999879837,-0.007129319012165
a,0.3442708253860473,0.4462963044643402,-4.579757444389543e-07,-0.0604166686534881,-0.037037044763565,-0.0208653211593627,-0.1124999970197677,-0.1111111044883728,-0.03141301125288,-0.1432291567325592,-0.1842592656612396,-0.0417264588177204,-0.1416666656732559,-0.2546296417713165,-0.0456023626029491,-0.0760416686534881,-0.239814817905426,-0.0023474113550037,-0.1130208224058151,-0.2453703731298446,-0.0265785865485668,-0.0927083194255828,-0.1657407581806183,-0.0365028865635395,-0.0739583373069763,-0.1592592597007751,-0.0418756157159805,-0.0416666567325592,-0.2509259283542633,-0.0031003777403384,-0.0796875059604644,-0.2509259283542633,-0.0306691825389862,-0.0645833313465118,-0.1564815044403076,-0.0303566996008157,-0.0463541448116302,-0.1601851880550384,-0.0245043653994798,-0.0067708194255828,-0.2425926029682159,-0.0095194224268198,-0.0395833253860473,-0.2490740865468979,-0.0376873724162578,-0.0333333313465118,-0.1564815044403076,-0.0210459120571613,-0.0145833194255828,-0.1564815044403076,-0.0032278983853757,0.0270833373069763,-0.2203703820705413,-0.0184638183563947,-0.0026041567325592,-0.2240740805864334,-0.0336794033646583,-0.0062499940395355,-0.1611111164093017,-0.0229727160185575,0.0067708492279052,-0.154629647731781,-0.0110081797465682
a,0.5755208134651184,0.4009259343147278,-5.225285804044688e-07,-0.0572916269302368,-0.0120370388031005,-0.0284848026931285,-0.1098958253860473,-0.0990740954875946,-0.0375166423618793,-0.1354166567325592,-0.1925926059484481,-0.0452529564499855,-0.1499999761581421,-0.2657407522201538,-0.0463886223733425,-0.0901041328907013,-0.2166666686534881,-0.0032654704991728,-0.1041666567325592,-0.2666666805744171,-0.0315422341227531,-0.0854166448116302,-0.1805555671453476,-0.0410128347575664,-0.0744791626930236,-0.162037044763565,-0.0437232889235019,-0.051562488079071,-0.2324074208736419,-0.0014607227640226,-0.0656249523162841,-0.2777777910232544,-0.0322798565030097,-0.0546875,-0.168518528342247,-0.0321318171918392,-0.048437476158142,-0.1648148298263549,-0.0236911736428737,-0.0140624642372131,-0.2324074208736419,-0.0070437896065413,-0.0234375,-0.2777777910232544,-0.0411058850586414,-0.0213541388511657,-0.172222226858139,-0.0259127393364906,-0.0166666507720947,-0.1611111164093017,-0.006448334082961,0.0244792103767395,-0.2277777791023254,-0.0154490154236555,0.0161458253860473,-0.2574074268341064,-0.0343316197395324,0.0109375119209289,-0.1842592656612396,-0.0231519155204296,0.0119791626930236,-0.168518528342247,-0.0094063710421323
a,0.4375,0.5064814686775208,-5.147435899743869e-07,-0.0604166686534881,-0.0407407283782959,-0.005435761064291,-0.0989583432674408,-0.1185185015201568,-0.0074142785742878,-0.1192708313465118,-0.1833333075046539,-0.0128888515755534,-0.1322916746139526,-0.2398147881031036,-0.0141533706337213,-0.0677083432674408,-0.2222222089767456,0.0164908710867166,-0.1005208194255828,-0.2481481432914734,-0.0044645848684012,-0.0890625119209289,-0.1722221970558166,-0.0152502115815877,-0.0744791626930236,-0.1518518328666687,-0.019630454480648,-0.0416666567325592,-0.2277777791023254,0.0103883482515811,-0.0765624940395355,-0.2518518269062042,-0.0126125821843743,-0.0666666626930236,-0.1629629433155059,-0.0149166714400053,-0.0484375059604644,-0.1574074029922485,-0.010125383734703,-0.0130208432674407,-0.2231481373310089,-0.0002950512862298,-0.0458333194255828,-0.25,-0.0242157038301229,-0.0401041805744171,-0.160185158252716,-0.011881579644978,-0.0213541686534881,-0.1509259045124054,0.003495056182146,0.0166666805744171,-0.2111110985279083,-0.0120477257296442,-0.0130208432674407,-0.2351851761341095,-0.0233393032103776,-0.0166666805744171,-0.1712962687015533,-0.011522002518177,-0.0031250119209289,-0.1564814746379852,0.0014982863795012
a,0.542187511920929,0.4453703761100769,-5.88875764151453e-07,-0.0572916865348815,-0.0129629671573638,-0.0164609719067811,-0.1140625178813934,-0.0888888835906982,-0.0211807209998369,-0.1510416865348816,-0.1601851880550384,-0.0284398477524518,-0.1817708313465118,-0.2185185253620147,-0.0308882724493742,-0.1083333492279052,-0.1907407343387603,0.008137347176671,-0.1354166865348816,-0.2509259283542633,-0.0196491442620754,-0.1109375059604644,-0.1712962985038757,-0.0329117663204669,-0.0921875238418579,-0.1379629671573639,-0.0370707586407661,-0.0765625238418579,-0.2166666686534881,0.0047447835095226,-0.1015625,-0.2824074029922485,-0.0236441809684038,-0.0802083313465118,-0.182407408952713,-0.0270414054393768,-0.0656250119209289,-0.1537037193775177,-0.0210978742688894,-0.0416666865348815,-0.233333334326744,-0.0048100352287292,-0.0661458373069763,-0.3064814805984497,-0.0349990576505661,-0.0520833432674407,-0.2018518596887588,-0.0218825209885835,-0.0385416746139526,-0.1574074029922485,-0.0034754970110952,-0.004687488079071,-0.2407407462596893,-0.0162567906081676,-0.0260416865348815,-0.2981481552124023,-0.0334052443504333,-0.0255208611488342,-0.2250000089406967,-0.0220436844974756,-0.0187500119209289,-0.1833333373069763,-0.007647808175534
a,0.5562499761581421,0.4462963044643402,-5.449039690574864e-07,-0.0499999523162841,-0.0277777910232543,-0.0208352003246545,-0.0916666388511657,-0.1259259283542633,-0.0271986927837133,-0.1145833134651184,-0.2120370417833328,-0.0341913774609565,-0.1333332955837249,-0.2824074029922485,-0.0360812880098819,-0.0791666507720947,-0.2212963104248047,-0.0012810667976737,-0.0859374701976776,-0.2925925850868225,-0.0284519977867603,-0.0713541507720947,-0.2046296447515487,-0.0403064712882041,-0.0619791448116302,-0.1629629731178283,-0.0437012054026126,-0.0421874523162841,-0.236111119389534,-0.0018886659527197,-0.048437476158142,-0.3092592656612396,-0.0309243630617856,-0.0411458015441894,-0.2000000029802322,-0.0342149250209331,-0.0354166626930236,-0.162037044763565,-0.0284468047320842,-0.0052083134651184,-0.2351851910352707,-0.0080328388139605,-0.0088541507720947,-0.3138889074325561,-0.0395081266760826,-0.0098958015441894,-0.2064814865589141,-0.0274003576487302,-0.0083333253860473,-0.1592592597007751,-0.0098170414566993,0.0307291746139526,-0.2240740805864334,-0.0159105136990547,0.0286458730697631,-0.2842592597007751,-0.034843198955059,0.0192708373069763,-0.2148148268461227,-0.0248218495398759,0.0140625238418579,-0.1740740835666656,-0.0114514091983437
a,0.53125,0.4833333194255829,-5.634421427203051e-07,-0.0557291805744171,-0.0296296179294586,-0.0156930778175592,-0.1026041805744171,-0.125,-0.0199982281774282,-0.1307291686534881,-0.2018518447875976,-0.0262787565588951,-0.1572916805744171,-0.2629629373550415,-0.0280419047921895,-0.0864583253860473,-0.2268518507480621,0.0060038999654352,-0.1088541746139526,-0.2749999761581421,-0.0194448940455913,-0.0911458432674408,-0.189814805984497,-0.0312977880239486,-0.074999988079071,-0.1611110866069793,-0.0356094278395175,-0.0510416626930236,-0.2416666597127914,0.002744958968833,-0.0729166567325592,-0.2972221970558166,-0.0251350793987512,-0.0614583194255828,-0.1916666626930236,-0.0278013497591018,-0.046875,-0.1638888716697693,-0.021793857216835,-0.0140625238418579,-0.2407407313585281,-0.0059774029068648,-0.0333333313465118,-0.3092592358589172,-0.0360270030796527,-0.0296875238418579,-0.2009259164333343,-0.0221071001142263,-0.0177083611488342,-0.1592592597007751,-0.003611407475546,0.0239583253860473,-0.2305555343627929,-0.0163224283605813,0.0083333253860473,-0.2842592597007751,-0.0333948284387588,0.0,-0.2120370268821716,-0.0214569699019193,0.0036458373069763,-0.1759259104728698,-0.0069898688234388
a,0.5380208492279053,0.4685185253620147,-5.579542516898073e-07,-0.0484375059604644,-0.0462962985038757,-0.0064543234184384,-0.0817708373069763,-0.1324074268341064,-0.0086817620322108,-0.1020833551883697,-0.2027777731418609,-0.0154929617419838,-0.1177083551883697,-0.269444465637207,-0.0191692356020212,-0.0552083551883697,-0.2250000089406967,0.0184796229004859,-0.0765625238418579,-0.2851851880550384,-0.0070054954849183,-0.0734375119209289,-0.212037056684494,-0.0217057112604379,-0.0598958432674407,-0.1666666865348816,-0.0263675656169652,-0.0296875238418579,-0.229629635810852,0.0118490913882851,-0.0505208373069763,-0.297222226858139,-0.0151600120589137,-0.0494791865348815,-0.2046296298503875,-0.0216840598732233,-0.0348958373069763,-0.1638889014720916,-0.0172583665698766,-0.0015625357627868,-0.2277777791023254,0.0001588846789672,-0.0229166746139526,-0.2990740835666656,-0.0266067255288362,-0.0255208611488342,-0.2046296298503875,-0.0173770114779472,-0.0130208730697631,-0.1583333313465118,-0.0017817330081015,0.0291666388511657,-0.2166666686534881,-0.012641773559153,0.0078125,-0.2740740776062011,-0.0271557588130235,-0.0010417103767395,-0.2111111283302307,-0.0171799752861261,0.0067707896232604,-0.1712962985038757,-0.0038441000506281
